RMSE,MAPE (%),AIC,R²,Model,Precision,Recall,AUC-ROC,Log Loss,Accuracy
4.606532981967072,6.4703924141145315,756.0010854277313,-0.5823573635140482,LSTM_Model_1,0.5119047619047619,0.4673913043478261,0.4803370786516854,0.751925685734011,0.5027624309392266
5.155039871842914,7.444872454186544,796.9508461407819,-0.9816194660995357,LSTM_Model_2,0.5056179775280899,0.4891304347826087,0.4551783097215437,0.8512074724500849,0.4972375690607735
4.22693528456546,5.881176711122258,724.6977049685953,-0.3323164798803946,LSTM_Model_3,0.43037974683544306,0.3695652173913043,0.41817293600390815,0.7993626960234979,0.430939226519337
2.445210554311306,3.0955851472039426,525.4637697226494,0.5541500464109181,LSTM_Model_4,0.47191011235955055,0.45652173913043476,0.4578651685393259,0.7936971179763184,0.46408839779005523
1.7750432662742737,2.141080973696542,408.87222647057774,0.7650507358797958,LSTM_Model_5,0.4883720930232558,0.45652173913043476,0.4665363947239863,0.8629521590555495,0.48066298342541436
3.057544886959322,3.7320509141318023,606.8108660640058,0.3028890806775376,LSTM_Model_6,0.45555555555555555,0.44565217391304346,0.4345383488031266,0.8317125180341074,0.44751381215469616
2.8859482900356133,3.9738015742222994,585.7866895320915,0.3789403805858248,LSTM_Model_7,0.5172413793103449,0.4891304347826087,0.48265754763067903,0.8031746374445927,0.5082872928176796
8.02187323105953,12.219037618038493,957.9105951008428,-3.7985253291879593,LSTM_Model_8,0.48148148148148145,0.42391304347826086,0.46775769418661456,0.8486491605233877,0.47513812154696133
3.7188306603062817,5.206976918621311,678.080978008441,-0.031261983523594106,LSTM_Model_9,0.47674418604651164,0.44565217391304346,0.46665852467024915,0.779681256857821,0.4696132596685083
3.5408421350592008,4.999690763658233,660.2287108013887,0.06509101929616135,LSTM_Model_10,0.46987951807228917,0.42391304347826086,0.4617733268197362,0.8467319195538187,0.46408839779005523
