Rank,Model,RMSE,MAE,R²,MAPE (%)
1,"ARIMA(5, 1, 5) (Tuned)",1.34967630155419,0.9543510483669679,0.8713545701236826,1.49887163890509
2,AR(7) (Tuned),1.3547419554305147,0.9778852344363714,0.8703870845695316,1.5387498569410665
3,Naive (Yesterday),1.3631534719567233,0.971720131494666,0.8685702449237608,1.52720318312238
4,MA(19) (Tuned),1.6573546122958793,1.2445447865429398,0.8060159598124924,1.9662311225174482
5,LSTM (Tuned),3.574786898790631,2.9226114749908447,0.0882144570350647,4.7604875564575195
6,LSTM (Original),6.742566006358237,6.012808322906494,-2.21539044380188,9.727298736572266
7,"ARIMA(5,1,2) (Original)",26436.59007053563,1934.1997182276589,-49356684.97380615,3095.1866479771647
