order,p,d,q,aic,bic
"(3, 2, 6)",3,2,6,3694.0823829483297,3741.6284239432093
"(3, 2, 7)",3,2,7,3703.6009600163025,3755.90160511067
"(4, 0, 0)",4,0,0,3704.1823816531573,3732.7239759886425
"(4, 0, 1)",4,0,1,3704.7116225120226,3738.0101492367553
"(4, 0, 2)",4,0,2,3696.237099662581,3734.2925587765612
"(4, 0, 3)",4,0,3,3697.1873962998857,3739.9997878031136
"(4, 0, 4)",4,0,4,3693.7490450034884,3741.318368895964
"(4, 0, 5)",4,0,5,3690.6410553003043,3742.9673115820274
"(4, 0, 6)",4,0,6,3689.855514890188,3746.9387035611585
"(4, 0, 7)",4,0,7,3692.3476526418376,3754.187773702056
"(4, 1, 0)",4,1,0,3695.9073526803095,3719.6861972902307
"(4, 1, 1)",4,1,1,3697.0506680224453,3725.585281554351
"(4, 1, 2)",4,1,2,3683.3311901404522,3716.621572594342
"(4, 1, 3)",4,1,3,3684.6706100665215,3722.7167614423956
"(4, 1, 4)",4,1,4,3687.037696534191,3729.8396168320496
"(4, 1, 5)",4,1,5,3678.8935031547107,3726.451192374553
"(4, 1, 6)",4,1,6,3680.5113655841187,3732.8248237259454
"(4, 1, 7)",4,1,7,3682.9220176643385,3739.9912447281495
"(4, 2, 0)",4,2,0,3873.4415441015444,3897.2145645989845
"(4, 2, 1)",4,2,1,3701.274745546094,3729.8023701430216
"(4, 2, 2)",4,2,2,3702.0788011586,3735.3610298550157
"(4, 2, 3)",4,2,3,3691.2374309517145,3729.274263747618
"(4, 2, 4)",4,2,4,3701.314960057288,3744.1063969526795
"(4, 2, 5)",4,2,5,3691.62787776538,3739.1739187602598
"(4, 2, 6)",4,2,6,3690.437986393091,3742.7386314874584
"(4, 2, 7)",4,2,7,3691.2362357001,3748.291484893956
"(5, 0, 0)",5,0,0,3704.6918447881744,3737.990371512907
"(5, 0, 1)",5,0,1,3705.8500267118325,3743.905485825813
"(5, 0, 2)",5,0,2,3694.074238641883,3736.8866301451108
"(5, 0, 3)",5,0,3,3698.4200933696707,3745.989417262146
"(5, 0, 4)",5,0,4,3694.957824088436,3747.2840803701592
"(5, 0, 5)",5,0,5,3681.6113636341047,3738.6945523050754
"(5, 0, 6)",5,0,6,3690.7290441621017,3752.56916522232
"(5, 0, 7)",5,0,7,3693.459576959207,3760.056630408673
"(5, 1, 0)",5,1,0,3692.63642857594,3721.1710421078456
"(5, 1, 1)",5,1,1,3686.0885369055336,3719.3789193594234
"(5, 1, 2)",5,1,2,3686.9853906741573,3725.0315420500315
"(5, 1, 3)",5,1,3,3676.9687958095346,3719.770716107393
"(5, 1, 4)",5,1,4,3679.5061199580273,3727.0638091778696
"(5, 1, 5)",5,1,5,3667.2829461799092,3719.596404321736
"(5, 1, 6)",5,1,6,3671.64754595865,3728.716773022461
"(5, 1, 7)",5,1,7,3672.477916795572,3734.3029127813675
"(5, 2, 0)",5,2,0,3865.3763173964826,3893.90394199341
"(5, 2, 1)",5,2,1,3698.102271228397,3731.3844999248126
"(5, 2, 2)",5,2,2,3701.7624959709087,3739.7993287668123
"(5, 2, 3)",5,2,3,3704.6055746242505,3747.397011519642
"(5, 2, 4)",5,2,4,3692.630499429579,3740.1765404244584
"(5, 2, 5)",5,2,5,3690.5687643412593,3742.869409435627
