Model,RMSE,MAPE (%),AIC,R²,Precision,Recall,AUC-ROC,Log Loss
Naive (Yesterday),1.377416778541343,1.5364618018623817,,0.8585063950135585,0.4891304347826087,0.4838709677419355,0.44844683393070484,0.9261191790118374
AR(7) (Tuned),1.3784977505803806,1.5656840660250064,3694.593540193151,0.8587065145154378,0.5056179775280899,0.4838709677419355,0.4520855488597424,0.9334368449191593
MA(20) (Tuned),1.734847291760888,1.997018768461301,3836.284241536754,0.776214202855246,0.4842105263157895,0.4946236559139785,0.44416873449131516,1.011203108580179
"ARIMA(5, 1, 5) (Tuned)",1.3734155281724323,1.5260140841448357,3667.2829461799092,0.8597464309113889,0.4883720930232558,0.45161290322580644,0.46921895308992084,0.9130921396791677
