seq_length,lstm_units,n_layers,dropout_rate,learning_rate,batch_size,val_loss,val_mae,epochs_trained
15,64,1,0.1,0.001,32,0.07559309154748917,0.22532829642295837,17
15,32,2,0.2,0.001,16,0.07626704126596451,0.2300277054309845,17
15,32,2,0.2,0.0005,16,0.07629920542240143,0.2348390519618988,18
15,64,1,0.3,0.0005,32,0.07648477703332901,0.23629261553287506,19
10,64,2,0.3,0.0005,16,0.07724425941705704,0.23490899801254272,25
10,32,2,0.1,0.0005,16,0.07796687632799149,0.2317368984222412,11
10,32,2,0.3,0.001,16,0.07818502187728882,0.23381197452545166,14
20,64,1,0.1,0.001,16,0.07944953441619873,0.2330125868320465,11
20,32,2,0.2,0.0005,32,0.08009595423936844,0.23626072704792023,26
20,32,2,0.1,0.001,16,0.08015938848257065,0.24234096705913544,28
20,64,2,0.3,0.0005,32,0.08297457545995712,0.242139533162117,12
15,32,1,0.1,0.0005,32,0.08530804514884949,0.2427651286125183,56
15,32,2,0.2,0.0005,32,0.086188904941082,0.24035891890525818,11
20,64,2,0.2,0.001,16,0.08648466318845749,0.2551070749759674,23
20,64,2,0.1,0.0005,16,0.08655530959367752,0.25090858340263367,12
15,32,2,0.1,0.0005,32,0.08696530759334564,0.2539389133453369,25
10,32,2,0.2,0.001,32,0.08826861530542374,0.24731236696243286,24
10,64,1,0.1,0.001,16,0.09041592478752136,0.254655659198761,25
20,64,2,0.2,0.0005,16,0.09542758017778397,0.2660284638404846,13
20,64,1,0.3,0.0005,32,0.09662625938653946,0.25837263464927673,37
20,64,2,0.2,0.001,32,0.09777431935071945,0.253096342086792,32
20,32,1,0.1,0.001,16,0.10603142529726028,0.2552258372306824,21
20,64,2,0.1,0.0005,32,0.10818896442651749,0.2863650918006897,34
15,64,2,0.2,0.0005,32,0.1101851835846901,0.28386712074279785,22
20,32,2,0.2,0.0005,16,0.11327270418405533,0.29290783405303955,15
15,32,1,0.2,0.001,32,0.11568804830312729,0.28132620453834534,16
20,64,2,0.1,0.001,16,0.11857951432466507,0.29688841104507446,11
15,32,2,0.3,0.001,16,0.1186397448182106,0.29427677392959595,25
10,32,2,0.1,0.001,32,0.11994340270757675,0.29955121874809265,20
20,64,2,0.3,0.001,32,0.1219489574432373,0.2998831272125244,11
20,32,1,0.1,0.0005,16,0.1287277191877365,0.29535526037216187,39
20,32,1,0.1,0.0005,32,0.12889139354228973,0.3203042447566986,43
20,32,2,0.1,0.0005,16,0.131654754281044,0.3211103081703186,16
15,32,2,0.1,0.001,32,0.1355038434267044,0.3083548843860626,19
15,32,2,0.3,0.0005,16,0.14102835953235626,0.31544527411460876,29
10,32,2,0.3,0.0005,16,0.14619368314743042,0.3201739490032196,18
10,32,1,0.1,0.0005,32,0.15786293148994446,0.34840473532676697,20
20,32,2,0.3,0.001,16,0.1607014536857605,0.3468991816043854,18
20,32,1,0.2,0.0005,16,0.16434133052825928,0.34218883514404297,39
20,32,2,0.1,0.0005,32,0.16580520570278168,0.36010250449180603,17
10,32,2,0.1,0.0005,32,0.17230525612831116,0.3635544180870056,16
20,32,2,0.2,0.001,32,0.19387079775333405,0.37842273712158203,21
15,32,2,0.2,0.001,32,0.19871112704277039,0.38012585043907166,12
20,32,2,0.3,0.0005,16,0.275215744972229,0.46418923139572144,32
