Model,RMSE,MAPE (%),AIC,R²,Precision,Recall,AUC-ROC,Log Loss
Neural Network (Single Best),1.7750432662742737,2.141080973696542,408.87222647057774,0.7650507358797958,0.4883720930232558,0.45652173913043476,0.4665363947239863,0.8629521590555495
Neural Network (Ensemble),3.6469563845448283,5.162550530016288,670.9770347048025,0.008215443794264643,0.46987951807228917,0.42391304347826086,0.45212506106497313,0.8000885474646695
